player,team,cap_hit,years_remaining,total_remaining,apron_status,source,as_of
Kris Dunn,LAC,4.3,1,4.3,below,curated-2026-07,2026-07-06
Tyler Herro,MIA,29.0,2,60.9,below,curated-2026-07,2026-07-06
Norman Powell,MIA,25.0,3,81.0,below,curated-2026-07,2026-07-06
Kel'el Ware,MIA,5.8,3,18.8,below,curated-2026-07,2026-07-06
Davion Mitchell,MIA,11.8,3,38.1,below,curated-2026-07,2026-07-06
Trey Murphy III,NOP,28.0,3,90.7,below,curated-2026-07,2026-07-06
Jordan Poole,NOP,32.0,2,67.2,below,curated-2026-07,2026-07-06
Herbert Jones,NOP,13.5,2,28.4,below,curated-2026-07,2026-07-06
Dejounte Murray,NOP,30.0,3,97.2,below,curated-2026-07,2026-07-06
Yves Missi,NOP,3.4,2,7.1,below,curated-2026-07,2026-07-06
Jalen Johnson,ATL,30.0,4,132.0,below,curated-2026-07,2026-07-06
Kristaps Porzingis,ATL,30.7,1,30.7,below,curated-2026-07,2026-07-06
Onyeka Okongwu,ATL,19.5,2,41.0,below,curated-2026-07,2026-07-06
Nickeil Alexander-Walker,ATL,15.5,3,50.2,below,curated-2026-07,2026-07-06
Zaccharie Risacher,ATL,12.5,3,40.5,below,curated-2026-07,2026-07-06
Josh Giddey,CHI,25.0,4,110.0,below,curated-2026-07,2026-07-06
Nikola Vucevic,CHI,20.0,2,42.0,below,curated-2026-07,2026-07-06
Coby White,CHI,12.0,3,38.9,below,curated-2026-07,2026-07-06
Ayo Dosunmu,CHI,16.0,5,89.6,below,curated-2026-07,2026-07-06
Matas Buzelis,CHI,4.4,3,14.3,below,curated-2026-07,2026-07-06
Patrick Williams,CHI,18.0,5,100.8,below,curated-2026-07,2026-07-06
Michael Porter Jr.,BKN,38.3,4,168.5,below,curated-2026-07,2026-07-06
Nic Claxton,BKN,29.3,2,61.5,below,curated-2026-07,2026-07-06
Cam Thomas,BKN,24.0,2,50.4,below,curated-2026-07,2026-07-06
Egor Demin,BKN,7.4,4,32.6,below,curated-2026-07,2026-07-06
Terance Mann,BKN,7.7,2,16.2,below,curated-2026-07,2026-07-06
Ziaire Williams,BKN,4.3,2,9.0,below,curated-2026-07,2026-07-06
LaMelo Ball,CHA,38.0,4,167.0,below,curated-2026-07,2026-07-06
Miles Bridges,CHA,23.3,2,48.9,below,curated-2026-07,2026-07-06
Brandon Miller,CHA,11.6,2,24.4,below,curated-2026-07,2026-07-06
Kon Knueppel,CHA,9.2,4,40.5,below,curated-2026-07,2026-07-06
Grant Williams,CHA,13.3,2,27.9,below,curated-2026-07,2026-07-06
Tidjane Salaun,CHA,5.8,3,18.8,below,curated-2026-07,2026-07-06
Scottie Barnes,TOR,38.7,4,170.1,below,curated-2026-07,2026-07-06
Brandon Ingram,TOR,44.0,2,92.4,below,curated-2026-07,2026-07-06
Immanuel Quickley,TOR,32.5,3,105.3,below,curated-2026-07,2026-07-06
RJ Barrett,TOR,30.0,3,97.2,below,curated-2026-07,2026-07-06
Jakob Poeltl,TOR,19.5,2,41.0,below,curated-2026-07,2026-07-06
Gradey Dick,TOR,4.4,2,9.2,below,curated-2026-07,2026-07-06
Zach LaVine,SAC,48.0,2,100.8,below,curated-2026-07,2026-07-06
Domantas Sabonis,SAC,43.4,4,191.0,below,curated-2026-07,2026-07-06
DeMar DeRozan,SAC,24.7,1,24.7,below,curated-2026-07,2026-07-06
Malik Monk,SAC,19.5,2,41.0,below,curated-2026-07,2026-07-06
Keegan Murray,SAC,9.4,2,19.7,below,curated-2026-07,2026-07-06
Devin Carter,SAC,4.1,3,13.3,below,curated-2026-07,2026-07-06
Lauri Markkanen,UTA,46.4,4,204.1,below,curated-2026-07,2026-07-06
Walker Kessler,UTA,22.0,4,96.8,below,curated-2026-07,2026-07-06
Ace Bailey,UTA,9.9,4,43.6,below,curated-2026-07,2026-07-06
Keyonte George,UTA,8.0,2,16.8,below,curated-2026-07,2026-07-06
Taylor Hendricks,UTA,8.4,3,27.2,below,curated-2026-07,2026-07-06
Isaiah Collier,UTA,3.9,3,12.6,below,curated-2026-07,2026-07-06
CJ McCollum,WAS,33.3,2,69.9,below,curated-2026-07,2026-07-06
Khris Middleton,WAS,34.0,1,34.0,below,curated-2026-07,2026-07-06
Alex Sarr,WAS,12.3,3,39.9,below,curated-2026-07,2026-07-06
Bilal Coulibaly,WAS,8.4,2,17.6,below,curated-2026-07,2026-07-06
Corey Kispert,WAS,16.3,3,52.8,below,curated-2026-07,2026-07-06
Tre Johnson,WAS,9.6,4,42.2,below,curated-2026-07,2026-07-06
Deni Avdija,POR,35.0,5,196.0,below,curated-2026-07,2026-07-06
Jrue Holiday,POR,32.4,2,68.0,below,curated-2026-07,2026-07-06
Shaedon Sharpe,POR,18.0,4,79.2,below,curated-2026-07,2026-07-06
Damian Lillard,POR,14.0,3,45.4,below,curated-2026-07,2026-07-06
Toumani Camara,POR,8.0,3,25.9,below,curated-2026-07,2026-07-06
Donovan Clingan,POR,8.3,3,26.9,below,curated-2026-07,2026-07-06
